tripid,vehid,startdate,seqno,point,t
62,3,2020-06-01,1,0101000020110F0000EFE7E07519611D4158226C49F12B5941,2020-06-01 08:18:17.506+02
62,3,2020-06-01,1,0101000020110F0000769322050A611D418CF2077EF02B5941,2020-06-01 08:18:19.006+02
62,3,2020-06-01,1,0101000020110F000085EAA523EB601D41F5923FE7EE2B5941,2020-06-01 08:18:20.806+02
62,3,2020-06-01,1,0101000020110F000022067F35E6601D41B2A94DA6EE2B5941,2020-06-01 08:18:21.093379+02
62,3,2020-06-01,1,0101000020110F0000D810D951BC601D419F6BFEF6EB2B5941,2020-06-01 08:18:23.793379+02
62,3,2020-06-01,1,0101000020110F0000BF694C5BAE601D419901E411EB2B5941,2020-06-01 08:18:25.429742+02
62,3,2020-06-01,1,0101000020110F0000A7C2BF64A0601D419297C92CEA2B5941,2020-06-01 08:18:30.105066+02
62,3,2020-06-01,1,0101000020110F00008E1B336E92601D418C2DAF47E92B5941,2020-06-01 08:18:31.240712+02
62,3,2020-06-01,1,0101000020110F00002C7F00945A601D41728545B3E52B5941,2020-06-01 08:18:34.840712+02
62,3,2020-06-01,1,0101000020110F000013D8739D4C601D416C1B2BCEE42B5941,2020-06-01 08:18:36.840712+02
62,3,2020-06-01,1,0101000020110F0000E2895AB030601D415F47F603E32B5941,2020-06-01 08:18:38.640712+02
62,3,2020-06-01,1,0101000020110F0000C9E2CDB922601D4159DDDB1EE22B5941,2020-06-01 08:18:40.025327+02
62,3,2020-06-01,1,0101000020110F000070BF1C3E5F5F1D4100116A97D52B5941,2020-06-01 08:18:52.625327+02
62,3,2020-06-01,1,0101000020110F0000010FB324535F1D414367E4D0D42B5941,2020-06-01 08:18:53.405193+02
62,3,2020-06-01,1,0101000020110F00007B76A8293C5F1D41AFB9AF47D82B5941,2020-06-01 08:18:55.205193+02
62,3,2020-06-01,1,0101000020110F0000779CDCD2365F1D410AB6B615D92B5941,2020-06-01 08:18:55.623383+02
62,3,2020-06-01,1,0101000020110F0000214CEAE5885E1D41B3B904DACC2B5941,2020-06-01 08:19:03.478613+02
62,3,2020-06-01,1,0101000020110F0000ADF66980DE5D1D411BD0D349C22B5941,2020-06-01 08:19:10.678613+02
62,3,2020-06-01,1,0101000020110F0000ADF66980DE5D1D411BD0D349C22B5941,2020-06-01 08:19:11.091242+02
62,3,2020-06-01,1,0101000020110F00005D8255A5D25D1D41E01DAD8DC12B5941,2020-06-01 08:19:12.343639+02
62,3,2020-06-01,1,0101000020110F000039FCB977C45D1D41B1D6FAABC02B5941,2020-06-01 08:19:13.093639+02
62,3,2020-06-01,1,0101000020110F000039FCB977C45D1D41B1D6FAABC02B5941,2020-06-01 08:19:13.727597+02
62,3,2020-06-01,1,0101000020110F0000590B0966B95D1D41A76FC6FBBF2B5941,2020-06-01 08:19:14.89867+02
62,3,2020-06-01,1,0101000020110F0000CDFF463AAB5D1D41F76DF619BF2B5941,2020-06-01 08:19:15.64867+02
62,3,2020-06-01,1,0101000020110F0000CDFF463AAB5D1D41F76DF619BF2B5941,2020-06-01 08:19:21.004386+02
62,3,2020-06-01,1,0101000020110F0000D8A33EC8A45D1D41AB4D41B3BE2B5941,2020-06-01 08:19:21.686639+02
62,3,2020-06-01,1,0101000020110F0000AEFAEA05975D1D41F6EA5ED9BD2B5941,2020-06-01 08:19:22.412587+02
62,3,2020-06-01,1,0101000020110F0000015BB1C07A5D1D410BCC9914BC2B5941,2020-06-01 08:19:23.612587+02
62,3,2020-06-01,1,0101000020110F000060614F206F5D1D41D6FC645ABB2B5941,2020-06-01 08:19:24.106099+02
62,3,2020-06-01,1,0101000020110F0000081293E2645D1D41A241426DBC2B5941,2020-06-01 08:19:24.53467+02
62,3,2020-06-01,1,0101000020110F0000B0C2D6A45A5D1D416E861F80BD2B5941,2020-06-01 08:19:24.89467+02
62,3,2020-06-01,1,0101000020110F0000B7832D92575D1D4105E098D2BD2B5941,2020-06-01 08:19:25.002689+02
62,3,2020-06-01,1,0101000020110F00008223B7824F5D1D41F55575F7BE2B5941,2020-06-01 08:19:25.902689+02
62,3,2020-06-01,1,0101000020110F0000AE67CD424C5D1D419781876DBF2B5941,2020-06-01 08:19:26.129468+02
62,3,2020-06-01,1,0101000020110F000091035879445D1D41D2474794C02B5941,2020-06-01 08:19:26.538558+02
62,3,2020-06-01,1,0101000020110F0000C6F0490B795B1D4176F77982042C5941,2020-06-01 08:19:47.778558+02
62,3,2020-06-01,1,0101000020110F0000EB8762BB735B1D41E1A08C4B052C5941,2020-06-01 08:19:48.024143+02
62,3,2020-06-01,1,0101000020110F0000808B5AEC6B5B1D41CEA62672062C5941,2020-06-01 08:19:48.384143+02
62,3,2020-06-01,1,0101000020110F0000B61D9B99685B1D417F0E87EF062C5941,2020-06-01 08:19:48.537351+02
62,3,2020-06-01,1,0101000020110F0000B61D9B99685B1D417F0E87EF062C5941,2020-06-01 08:19:48.580808+02
62,3,2020-06-01,1,0101000020110F00006248883B625B1D4115D462E3072C5941,2020-06-01 08:19:49.819642+02
62,3,2020-06-01,1,0101000020110F00003E92E9625A5B1D41329ABB09092C5941,2020-06-01 08:19:50.569642+02
62,3,2020-06-01,1,0101000020110F000019DC4A8A525B1D41506014300A2C5941,2020-06-01 08:19:51.069642+02
62,3,2020-06-01,1,0101000020110F0000F525ACB14A5B1D416D266D560B2C5941,2020-06-01 08:19:51.444642+02
62,3,2020-06-01,1,0101000020110F0000ACB96E003B5B1D41A8B21EA30D2C5941,2020-06-01 08:19:52.164642+02
62,3,2020-06-01,1,0101000020110F0000DC69715E345B1D416143F29B0E2C5941,2020-06-01 08:19:52.468968+02
62,3,2020-06-01,1,0101000020110F0000382F39F3145B1D4123AE1935132C5941,2020-06-01 08:19:53.908968+02
62,3,2020-06-01,1,0101000020110F00004217236A115B1D41521C90B9132C5941,2020-06-01 08:19:54.071008+02
62,3,2020-06-01,1,0101000020110F000085674405025B1D41EFF84408162C5941,2020-06-01 08:19:54.791008+02
62,3,2020-06-01,1,0101000020110F0000A70FD552FA5A1D413E679F2F172C5941,2020-06-01 08:19:55.445553+02
62,3,2020-06-01,1,0101000020110F0000C8B765A0F25A1D418DD5F956182C5941,2020-06-01 08:19:55.901249+02
62,3,2020-06-01,1,0101000020110F00002DB01789DB5A1D41792009CD1B2C5941,2020-06-01 08:19:56.981249+02
62,3,2020-06-01,1,0101000020110F00002DB01789DB5A1D41792009CD1B2C5941,2020-06-01 08:19:57.901332+02
62,3,2020-06-01,1,0101000020110F00001F6352BFD55A1D41774F24AB1C2C5941,2020-06-01 08:19:59.029334+02
62,3,2020-06-01,1,0101000020110F00002CBBB2E4CD5A1D4130676FD11D2C5941,2020-06-01 08:19:59.779334+02
62,3,2020-06-01,1,0101000020110F00003A13130AC65A1D41E87EBAF71E2C5941,2020-06-01 08:20:00.279334+02
62,3,2020-06-01,1,0101000020110F0000476B732FBE5A1D41A196051E202C5941,2020-06-01 08:20:00.654334+02
62,3,2020-06-01,1,0101000020110F00006F73949FA65A1D41CBDDE690232C5941,2020-06-01 08:20:01.734334+02
62,3,2020-06-01,1,0101000020110F00006F73949FA65A1D41CBDDE690232C5941,2020-06-01 08:20:01.912985+02
62,3,2020-06-01,1,0101000020110F0000D082C278A15A1D41FEB9EF51242C5941,2020-06-01 08:20:02.896873+02
62,3,2020-06-01,1,0101000020110F000016CFD013995A1D4181E06274252C5941,2020-06-01 08:20:03.646873+02
62,3,2020-06-01,1,0101000020110F00005B1BDFAE905A1D410307D696262C5941,2020-06-01 08:20:04.146873+02
62,3,2020-06-01,1,0101000020110F0000A167ED49885A1D41862D49B9272C5941,2020-06-01 08:20:04.521873+02
62,3,2020-06-01,1,0101000020110F0000E6B3FBE47F5A1D410954BCDB282C5941,2020-06-01 08:20:04.881873+02
62,3,2020-06-01,1,0101000020110F0000722B57277A5A1D41E91D5FA2292C5941,2020-06-01 08:20:13.577868+02
62,3,2020-06-01,1,0101000020110F00000CB8172E705A1D41962EBEB72A2C5941,2020-06-01 08:20:14.919589+02
62,3,2020-06-01,1,0101000020110F0000A544D834665A1D41443F1DCD2B2C5941,2020-06-01 08:20:15.627815+02
62,3,2020-06-01,1,0101000020110F00003FD1983B5C5A1D41F14F7CE22C2C5941,2020-06-01 08:20:16.108897+02
62,3,2020-06-01,1,0101000020110F0000D95D5942525A1D419F60DBF72D2C5941,2020-06-01 08:20:16.473154+02
62,3,2020-06-01,1,0101000020110F000072EA1949485A1D414C713A0D2F2C5941,2020-06-01 08:20:17.282615+02
62,3,2020-06-01,1,0101000020110F00000C77DA4F3E5A1D41F9819922302C5941,2020-06-01 08:20:17.808361+02
62,3,2020-06-01,1,0101000020110F0000A5039B56345A1D41A792F837312C5941,2020-06-01 08:20:18.197659+02
62,3,2020-06-01,1,0101000020110F0000A5039B56345A1D41A792F837312C5941,2020-06-01 08:20:20.982655+02
62,3,2020-06-01,1,0101000020110F00009EE6A0362F5A1D41AF4A7FC6312C5941,2020-06-01 08:20:21.753424+02
62,3,2020-06-01,1,0101000020110F00001E245A86245A1D41022CF7D4322C5941,2020-06-01 08:20:22.503424+02
62,3,2020-06-01,1,0101000020110F00009D6113D6195A1D41560D6FE3332C5941,2020-06-01 08:20:23.003424+02
62,3,2020-06-01,1,0101000020110F00001D9FCC250F5A1D41A9EEE6F1342C5941,2020-06-01 08:20:23.378424+02
62,3,2020-06-01,1,0101000020110F00009CDC8575045A1D41FCCF5E00362C5941,2020-06-01 08:20:23.738424+02
62,3,2020-06-01,1,0101000020110F00009CDC8575045A1D41FCCF5E00362C5941,2020-06-01 08:20:26.711584+02
62,3,2020-06-01,1,0101000020110F0000F78BEA81025A1D41A211C131362C5941,2020-06-01 08:20:26.985463+02
62,3,2020-06-01,1,0101000020110F0000E87F9B3BF7591D41D5840F3A372C5941,2020-06-01 08:20:27.735463+02
62,3,2020-06-01,1,0101000020110F0000DA734CF5EB591D4108F85D42382C5941,2020-06-01 08:20:28.235463+02
62,3,2020-06-01,1,0101000020110F0000CB67FDAEE0591D413B6BAC4A392C5941,2020-06-01 08:20:28.610463+02
62,3,2020-06-01,1,0101000020110F0000CB67FDAEE0591D413B6BAC4A392C5941,2020-06-01 08:20:29.172482+02
62,3,2020-06-01,1,0101000020110F000077CCD7E7DD591D41C784CB8B392C5941,2020-06-01 08:20:29.542061+02
62,3,2020-06-01,1,0101000020110F00001DAFF0A8D2591D4143B16A943A2C5941,2020-06-01 08:20:30.292061+02
62,3,2020-06-01,1,0101000020110F00001DAFF0A8D2591D4143B16A943A2C5941,2020-06-01 08:20:30.569927+02
62,3,2020-06-01,1,0101000020110F00007785E386D1591D4102DD13AF3A2C5941,2020-06-01 08:20:30.721053+02
62,3,2020-06-01,1,0101000020110F0000682FAE51C5591D413EA38CAC3B2C5941,2020-06-01 08:20:31.471053+02
62,3,2020-06-01,1,0101000020110F000059D9781CB9591D417B6905AA3C2C5941,2020-06-01 08:20:31.971053+02
62,3,2020-06-01,1,0101000020110F00004A8343E7AC591D41B72F7EA73D2C5941,2020-06-01 08:20:32.346053+02
